credit_id,client_id,montant_demande_fcfa,duree_mois,nb_transactions_30j,a_fait_defaut,nom,ville,age,metier,revenu_mensuel_fcfa,anciennete_mobile_money_mois,operateur_principal,nb_transactions_total,montant_total_fcfa,montant_moyen_fcfa,montant_max_fcfa,montant_std_fcfa,nb_types_distincts,nb_operateurs_distincts,jours_depuis_derniere_trans,nb_achat_credit,nb_depot,nb_paiement_facture,nb_retrait,nb_transfert
152,208,167257,12,37,0,Catherine Lesage,Libreville,44,Coiffeur(se),144525,29,gimac,37,1137677,30748.027027027027,57538,17126.079415270095,5,1,1,4,4,11,9,9
153,210,39945,3,32,0,Martin Schmitt,Oyem,41,Petit éleveur,35426,31,moov,32,219993,6874.78125,13825,3676.361189514182,5,1,9,5,5,8,9,5
154,212,34570,3,61,0,Juliette Breton,Tchibanga,41,Agriculteur(trice),60097,42,airtel,61,746230,12233.27868852459,23650,6416.920214378929,5,1,0,19,12,8,12,10
155,213,217329,12,23,0,Benjamin Lopes-Lebreton,Moanda,23,Chauffeur de taxi,154739,8,moov,23,752465,32715.869565217392,56045,12848.912512541314,5,1,6,5,7,3,4,4
156,214,82669,3,70,0,Nicolas Colas-Bourdon,Mouila,23,Couturier(ère),88681,54,moov,70,1408763,20125.185714285715,34923,10252.047889155227,5,1,0,18,11,14,12,15
157,215,195839,9,50,0,Maggie Leroy,Oyem,42,Artisan(e),85379,24,moov,50,899306,17986.12,31389,8235.063462427237,5,1,1,10,8,13,12,7
158,217,29868,6,40,0,Frédérique Monnier,Franceville,63,Restaurateur(trice),30000,45,moov,40,288174,7204.35,11977,3241.980366207019,5,1,6,5,8,12,7,8
159,218,404004,6,29,0,Jean-Guillaume Godard,Moanda,31,Chauffeur de taxi,348422,2,gimac,29,1762663,60781.48275862069,99670,34104.577478293235,5,1,2,4,4,5,8,8
160,219,196959,12,44,0,Roger-Aimé Blondel,Port-Gentil,36,Couturier(ère),314440,28,moov,44,2517756,57221.72727272727,99670,32329.816541364857,5,1,1,9,7,5,11,12
161,221,240302,6,61,0,Victoire Berthelot,Oyem,63,Chauffeur de taxi,109233,33,moov,61,1332336,21841.573770491803,43666,11510.731826515948,5,1,3,8,18,14,9,12
162,222,154524,12,14,1,Noël Imbert-Mendès,Mouila,29,Artisan(e),81708,16,gimac,14,326402,23314.428571428572,32604,7224.396197439785,4,1,0,4,2,0,5,3
163,223,39269,3,54,0,Sophie Durand,Libreville,42,Restaurateur(trice),104239,33,airtel,54,1152846,21349.0,41414,11586.287723319629,5,1,1,10,10,8,15,11
164,225,73716,3,66,0,Jacqueline Schneider,Franceville,61,Restaurateur(trice),35132,53,gimac,66,475357,7202.378787878788,13939,3996.5113931841615,5,1,0,17,12,13,12,12
165,226,39080,9,47,0,Michèle-Thérèse Lenoir,Port-Gentil,63,Restaurateur(trice),96083,9,airtel,47,934230,19877.23404255319,35444,9340.704254271857,5,1,2,6,10,7,14,10
166,227,39223,9,16,0,Marie du Vallet,Libreville,38,Vendeur(se) au marché,79035,13,gimac,16,221458,13841.125,29952,10065.44818591469,5,1,2,2,4,3,1,6
167,229,116439,3,38,0,Laetitia Schneider,Lambaréné,35,Artisan(e),50425,56,moov,38,369523,9724.28947368421,19660,6063.444083784685,5,1,3,5,7,13,5,8
168,232,109761,9,37,1,Éléonore Olivier-Fabre,Port-Gentil,38,Vendeur(se) au marché,61961,7,moov,37,470442,12714.648648648648,24462,6853.69071788744,5,1,13,12,1,6,8,10
169,233,132080,9,49,0,Laure Ramos,Tchibanga,40,Restaurateur(trice),81050,11,airtel,49,823745,16811.122448979593,30751,7681.096489197395,5,1,5,14,6,12,8,9
170,234,174891,6,31,0,Lorraine-Capucine Leclercq,Libreville,22,Mécanicien(ne),121687,41,moov,31,848417,27368.290322580644,48513,13717.029185635274,5,1,2,3,6,7,4,11
171,235,82105,6,37,0,Gabriel Alves de la Hernandez,Libreville,27,Petit éleveur,104178,11,gimac,37,874430,23633.243243243243,38314,11959.494831874532,5,1,1,6,6,10,9,6
172,236,187560,12,46,0,René Marchand,Libreville,56,Chauffeur de taxi,78988,37,gimac,46,806241,17526.978260869564,29502,7638.125388075359,5,1,6,13,12,8,6,7
173,237,73958,6,22,0,Alphonse-André Lenoir,Port-Gentil,54,Chauffeur de taxi,90949,29,gimac,22,373983,16999.227272727272,35982,8944.553969192215,5,1,9,3,4,7,3,5
174,238,182069,6,49,0,Christophe Diaz du Henry,Oyem,25,Commerçant(e),80841,18,gimac,49,843200,17208.163265306124,31917,8156.126300075858,5,1,2,12,7,7,16,7
175,239,114150,6,37,0,Sébastien Jacquet,Port-Gentil,34,Vendeur(se) au marché,50508,59,gimac,37,356605,9637.972972972973,18825,5338.088726243621,5,1,12,6,9,9,5,8
176,240,200929,12,41,0,Valentine Besnard,Port-Gentil,46,Chauffeur de taxi,97701,55,gimac,41,874186,21321.60975609756,39018,11647.382282895262,5,1,0,10,9,9,7,6
177,242,72272,6,74,0,Olivier-Bertrand François,Moanda,28,Chauffeur de taxi,37118,58,moov,74,561084,7582.216216216216,14552,4099.659986804352,5,1,3,15,10,15,14,20
178,243,206483,12,40,0,Victoire Legrand,Franceville,33,Restaurateur(trice),99733,13,airtel,40,806042,20151.05,38799,11116.22180084767,5,1,1,8,9,10,6,7
179,246,72761,12,26,1,Roger Salmon,Franceville,53,Petit éleveur,84038,23,airtel,26,437545,16828.653846153848,31519,9375.83004087556,5,1,14,9,2,4,5,6
180,248,182581,12,50,0,Monique du Pichon,Oyem,40,Agriculteur(trice),77607,60,moov,50,829097,16581.94,29866,8928.030983437753,5,1,2,9,12,10,11,8
181,250,220924,12,19,0,Anne Bourdon de Ledoux,Franceville,28,Petit éleveur,105796,11,gimac,19,413783,21778.052631578947,39467,13469.385119487675,5,1,14,4,3,6,4,2
182,251,85470,12,51,0,Thomas de la Aubry,Libreville,19,Artisan(e),184369,60,airtel,51,1886374,36987.72549019608,71731,19577.425677630275,5,1,2,10,8,17,8,8
183,252,97624,3,39,0,Édouard Dupuis,Mouila,57,Commerçant(e),72623,37,moov,39,650609,16682.28205128205,27333,7752.402625701607,5,1,4,8,7,7,9,8
184,253,175964,12,36,0,Robert Sanchez,Moanda,48,Couturier(ère),238260,42,gimac,36,1746267,48507.416666666664,94299,28548.604611759423,5,1,4,4,7,7,9,9
185,254,193330,9,62,0,Adrien Lejeune,Libreville,28,Restaurateur(trice),82711,45,moov,62,1202783,19399.725806451614,32662,9246.967040504445,5,1,0,15,13,17,4,13
186,255,197801,3,35,0,Sylvie Klein,Franceville,38,Coiffeur(se),96725,39,gimac,35,750502,21442.914285714287,37551,11934.9429860671,5,1,1,5,7,7,8,8
187,256,182352,12,40,0,Gabriel Hervé,Franceville,41,Agriculteur(trice),212638,26,gimac,40,1841943,46048.575,82846,22076.30867031559,5,1,1,11,7,11,7,4
188,257,102877,6,40,0,Michel Guérin de la Aubry,Moanda,46,Couturier(ère),57838,8,airtel,40,505827,12645.675,22849,6192.794515992574,5,1,8,11,6,5,9,9
189,258,72437,3,54,0,Élodie-Pauline Noël,Mouila,33,Chauffeur de taxi,55011,25,moov,54,607573,11251.351851851852,21699,6102.066189375924,5,1,2,9,11,11,11,12
190,259,59922,12,29,0,Hélène Jourdan-Gérard,Tchibanga,49,Vendeur(se) au marché,67523,33,moov,29,419479,14464.793103448275,26301,8411.180214364816,5,1,13,3,7,6,7,6
191,260,80027,12,22,0,David-Auguste Lopez,Lambaréné,21,Commerçant(e),116800,14,moov,22,559131,25415.045454545456,44826,12856.909046731673,5,1,10,8,2,4,5,3
192,261,102608,3,38,0,Honoré Valentin,Tchibanga,36,Agriculteur(trice),94403,42,airtel,38,648023,17053.236842105263,37715,10148.11469492283,5,1,6,7,6,9,11,5
193,263,84701,3,59,1,Madeleine Bonnin,Oyem,41,Agriculteur(trice),78416,37,moov,59,977025,16559.745762711864,31106,8589.367520357144,5,1,0,10,22,7,10,10
194,264,33164,6,34,0,Laetitia Charrier,Moanda,57,Petit éleveur,40721,49,airtel,34,281039,8265.85294117647,16238,4303.03931440961,5,1,7,7,8,7,6,6
195,265,101723,6,39,0,Virginie Navarro-Faure,Oyem,56,Agriculteur(trice),108427,10,moov,39,986835,25303.46153846154,42483,9257.526431152211,5,1,7,5,5,8,14,7
196,267,55740,6,48,0,Alexandre-Benjamin Rolland,Moanda,55,Coiffeur(se),72569,40,gimac,48,689301,14360.4375,27865,8532.351550114074,5,1,2,9,12,7,8,12
197,268,441472,6,66,1,Aimée-Juliette Verdier,Moanda,48,Commerçant(e),203325,46,moov,66,2893343,43838.530303030304,79250,21082.396524274936,5,1,4,18,11,13,13,11
198,269,60244,6,51,0,Emmanuel Lelièvre,Moanda,64,Commerçant(e),81219,27,gimac,51,855559,16775.666666666668,32459,9156.086883962313,5,1,10,16,9,5,13,8
199,270,51906,6,59,0,Simone Le Arnaud,Oyem,64,Commerçant(e),44610,51,gimac,59,571104,9679.728813559323,17840,4864.019980783982,5,1,1,11,11,16,8,13
200,272,186102,6,29,0,Marine Lejeune,Libreville,46,Coiffeur(se),126680,13,moov,29,831991,28689.344827586207,46998,12687.482265366527,5,1,3,8,2,5,6,8
201,273,25000,9,19,1,Margot Leconte,Tchibanga,65,Commerçant(e),30969,27,gimac,19,129997,6841.9473684210525,12134,3672.2326462503893,5,1,7,6,2,3,4,4
202,274,57118,6,52,0,Édouard Boulanger,Tchibanga,51,Mécanicien(ne),61699,21,moov,52,642306,12352.038461538461,24392,7194.0489075878695,5,1,1,10,13,8,8,13
203,275,331963,12,40,0,Virginie Hervé,Lambaréné,52,Coiffeur(se),235617,35,gimac,40,2061297,51532.425,93131,24698.358242840084,5,1,1,12,4,9,8,7
204,277,82150,12,54,0,Hugues Fleury,Oyem,37,Vendeur(se) au marché,189645,20,gimac,54,2116339,39191.46296296296,71871,21493.88695430081,5,1,11,12,14,7,9,12
205,278,40736,9,19,0,Céline Leleu,Tchibanga,40,Agriculteur(trice),35549,21,gimac,19,149120,7848.421052631579,13206,3604.247283349488,4,1,6,3,7,5,4,0
206,279,147301,12,37,1,Adélaïde Descamps,Mouila,43,Coiffeur(se),75693,44,airtel,37,560980,15161.621621621622,29899,8097.430001588813,5,1,7,6,6,7,9,9
207,280,60246,6,31,0,Susan Pasquier-Vincent,Port-Gentil,40,Restaurateur(trice),72927,46,gimac,31,399642,12891.677419354839,28457,7202.756205727068,5,1,1,5,7,8,4,7
208,284,50369,3,34,1,Christelle Hervé-Navarro,Tchibanga,48,Couturier(ère),30000,57,moov,34,216076,6355.176470588235,11919,3716.214573432652,5,1,2,6,6,6,10,6
209,285,25000,12,54,0,Chantal Leroy,Port-Gentil,59,Petit éleveur,58698,59,airtel,54,720696,13346.222222222223,23038,6751.907145438904,5,1,4,8,16,12,8,10
210,287,72741,9,65,0,Agathe Courtois-Cordier,Moanda,20,Commerçant(e),30000,56,moov,65,427522,6577.261538461538,11944,3260.171057038855,5,1,14,15,12,12,12,14
211,288,237683,12,53,0,Frédéric Noël,Moanda,47,Agriculteur(trice),106762,22,gimac,53,1191768,22486.188679245282,42657,11061.033579568002,5,1,0,14,11,11,9,8
212,290,81156,3,26,0,Paul Auger,Moanda,63,Chauffeur de taxi,51628,42,airtel,26,316011,12154.26923076923,20142,5018.442543719653,5,1,6,7,4,3,6,6
213,292,127897,3,35,0,Sylvie Berger,Port-Gentil,29,Chauffeur de taxi,100430,43,moov,35,719156,20547.314285714285,38247,11512.016534579723,5,1,1,13,7,6,5,4
214,293,189023,12,15,0,Claudine Jacob,Mouila,33,Restaurateur(trice),77538,17,moov,15,227837,15189.133333333333,30382,9549.290802886635,5,1,0,4,2,1,5,3
215,294,285936,9,60,0,Théophile de la Muller,Libreville,34,Coiffeur(se),192817,47,gimac,60,2462826,41047.1,75498,21523.632882587615,5,1,3,16,9,12,5,18
216,295,77394,12,54,0,Marc-Jean Guillou,Moanda,28,Mécanicien(ne),43606,30,gimac,54,470382,8710.777777777777,17364,4904.206902844939,5,1,0,11,9,17,7,10
217,296,135726,9,45,1,Adrien-Guy Pages,Moanda,62,Artisan(e),101188,46,gimac,45,928663,20636.955555555556,40021,11881.075484980222,5,1,1,9,7,7,10,12
218,298,230393,6,50,0,Valérie Barre,Tchibanga,52,Couturier(ère),118933,36,airtel,50,1089109,21782.18,47107,13375.843046770426,5,1,1,13,9,12,7,9
219,299,365430,6,69,0,Michelle Pineau,Port-Gentil,51,Restaurateur(trice),156258,51,gimac,69,2277093,33001.34782608696,61548,19365.482266306968,5,1,14,12,24,14,10,9
220,300,57160,12,29,0,Élisabeth Rocher,Port-Gentil,21,Agriculteur(trice),123934,37,gimac,29,748159,25798.58620689655,47045,13680.85934935908,5,1,6,6,8,5,3,7
221,301,74174,9,13,1,Sébastien Jacob-Rey,Lambaréné,51,Restaurateur(trice),50936,11,airtel,13,120945,9303.461538461539,17496,5302.709112887245,4,1,22,4,2,1,6,0
222,302,66523,3,52,0,Amélie Prévost,Port-Gentil,50,Restaurateur(trice),190150,32,airtel,52,2120912,40786.769230769234,73234,20010.415651203664,5,1,3,7,16,8,10,11
223,304,461728,9,29,1,Paul Da Silva,Moanda,18,Couturier(ère),309166,26,gimac,29,2278106,78555.37931034483,99670,24391.77627136683,4,1,2,6,0,12,6,5
224,305,77822,12,65,0,Philippe Maury,Port-Gentil,52,Commerçant(e),46046,45,airtel,65,681899,10490.753846153846,18203,5074.597450262585,5,1,4,11,13,20,9,12
225,309,160173,3,27,1,Auguste Lelièvre,Mouila,32,Couturier(ère),146096,35,moov,27,1028050,38075.92592592593,58378,15599.897206086196,5,1,0,3,11,6,5,2
226,311,143487,9,29,0,Audrey Boulanger,Oyem,65,Commerçant(e),138582,4,moov,29,972482,33533.862068965514,51592,15619.585429206996,5,1,3,4,5,5,7,8
227,313,70446,6,43,0,Alex Maurice,Lambaréné,33,Vendeur(se) au marché,118825,50,airtel,43,1055063,24536.3488372093,47009,13581.158771102395,5,1,1,11,8,6,10,8
228,314,37782,3,55,1,Georges Lefort,Franceville,58,Mécanicien(ne),87312,36,gimac,55,1039533,18900.6,34786,9333.752690182095,5,1,1,10,20,8,6,11
229,315,178448,12,52,0,Gabriel Letellier de Gay,Mouila,51,Coiffeur(se),83895,42,gimac,52,928452,17854.846153846152,33365,9250.780883593527,5,1,1,11,9,9,11,12
230,317,383519,6,35,0,Matthieu Brun,Franceville,47,Commerçant(e),165087,46,gimac,35,1135635,32446.714285714286,65835,19889.2917207039,5,1,18,7,8,7,7,6
231,318,124582,9,31,1,Alexandre Lambert Le Lefèvre,Franceville,42,Couturier(ère),84622,34,moov,31,604864,19511.74193548387,33808,8917.63788592675,5,1,0,4,7,7,6,7
232,319,25000,12,74,0,Joseph Besson du Rodrigues,Tchibanga,41,Artisan(e),41592,60,gimac,74,646819,8740.797297297297,16419,4223.353040364284,5,1,1,18,25,13,9,9
233,320,326500,6,40,0,Rémy Bouchet-Moreno,Mouila,61,Petit éleveur,131342,18,gimac,40,1228851,30721.275,51937,14972.569131903028,5,1,3,8,8,4,9,11
234,321,274189,3,48,0,Émile Roger,Oyem,48,Couturier(ère),211156,43,moov,48,1870270,38963.958333333336,82648,23694.99070497528,5,1,8,11,10,12,8,7
235,322,157735,12,35,1,Thibault Weber,Port-Gentil,65,Restaurateur(trice),68443,48,airtel,35,562514,16071.828571428572,27070,7279.420963097491,5,1,4,6,4,6,14,5
236,323,86666,9,46,0,Isabelle Mahe de la Grondin,Oyem,53,Coiffeur(se),194802,26,moov,46,1899268,41288.434782608696,76976,22626.244845461286,5,1,3,11,8,7,11,9
237,324,82142,6,41,1,Joséphine Jacques,Moanda,34,Coiffeur(se),75856,23,gimac,41,668522,16305.414634146342,29147,8656.935032029553,5,1,2,11,10,6,11,3
238,325,474251,9,65,0,Xavier-Aimé Turpin,Tchibanga,38,Couturier(ère),206467,52,moov,65,2083865,32059.46153846154,78343,22456.019162518627,5,1,0,11,13,15,13,13
239,327,126289,6,43,0,Marie Coste,Oyem,39,Couturier(ère),113535,10,moov,43,1085824,25251.720930232557,44186,12689.717029989999,5,1,2,10,9,6,10,8
240,328,225906,12,51,0,Timothée Lamy Le Pineau,Lambaréné,34,Restaurateur(trice),108579,36,gimac,51,1140743,22367.50980392157,43237,10434.206165056446,5,1,0,8,12,6,16,9
241,329,111493,3,45,0,Eugène Jacob du Gautier,Lambaréné,28,Chauffeur de taxi,131440,11,gimac,45,1253918,27864.844444444443,52246,13763.763057317565,5,1,10,8,10,5,11,11
242,330,49262,9,37,0,Laurent Masse-Pelletier,Libreville,51,Commerçant(e),104685,57,airtel,37,762714,20613.891891891893,41320,10689.098087885264,5,1,2,8,5,5,9,10
243,332,105156,9,18,1,Laure Petit,Tchibanga,60,Restaurateur(trice),57975,4,airtel,18,253558,14086.555555555555,21950,5885.2731579588435,5,1,27,2,4,5,4,3
244,333,213888,9,44,0,Anaïs-Zoé Renault,Franceville,24,Artisan(e),248742,59,gimac,44,2372458,53919.5,99191,23557.775133330357,5,1,10,10,6,10,8,10
245,334,127152,9,42,1,Thibaut Benard-Vasseur,Moanda,40,Vendeur(se) au marché,63118,34,moov,42,592356,14103.714285714286,24489,7582.2185642067,5,1,0,12,6,9,6,9
246,336,88803,9,25,1,Thomas Pereira,Tchibanga,21,Commerçant(e),43890,25,gimac,25,233231,9329.24,15432,4816.327692339881,5,1,4,7,4,6,3,5
247,337,25000,12,25,1,Honoré Besnard,Lambaréné,54,Artisan(e),50196,28,gimac,25,271756,10870.24,19884,4843.0835242986805,5,1,3,4,5,8,6,2
248,338,423031,3,71,1,Stéphane Marchal,Tchibanga,35,Commerçant(e),172843,58,airtel,71,2627211,37002.971830985916,68848,20004.7927464337,5,1,0,14,15,17,11,14
249,339,143884,12,43,0,Benjamin Collet,Libreville,29,Coiffeur(se),128514,35,airtel,43,1266708,29458.325581395347,50519,16014.631488142233,5,1,5,11,10,7,9,6
250,340,484797,6,25,1,Patricia Roger,Port-Gentil,37,Chauffeur de taxi,243724,26,gimac,25,1191903,47676.12,95359,24353.38510919307,5,1,7,9,5,3,3,5
251,341,40289,12,56,0,Christophe Le Laporte,Mouila,65,Chauffeur de taxi,32773,22,gimac,56,352711,6298.410714285715,12740,2923.8084179047005,5,1,1,9,6,16,15,10
252,342,78401,3,32,1,Laetitia de la Boucher,Libreville,24,Mécanicien(ne),156718,23,airtel,32,1097591,34299.71875,61689,17220.23260723789,5,1,1,5,7,11,3,6
253,343,376362,9,65,0,Lucie Letellier,Mouila,38,Commerçant(e),167487,50,gimac,65,2322603,35732.35384615385,66494,19398.757172199505,5,1,0,10,14,6,14,21
254,344,175168,3,22,0,Céline Bigot,Mouila,29,Petit éleveur,97244,25,gimac,22,515179,23417.227272727272,38203,11534.852346700116,5,1,0,2,4,9,5,2
255,345,122955,12,17,0,David Faivre,Oyem,63,Artisan(e),57422,19,airtel,17,182837,10755.117647058823,22042,6855.475383610835,5,1,9,4,2,7,2,2
256,348,147650,3,56,1,Agathe Aubry,Mouila,24,Commerçant(e),61976,29,airtel,56,660083,11787.19642857143,24367,7143.8379357053855,5,1,0,15,7,10,16,8
257,351,128859,6,43,1,Catherine Parent,Moanda,35,Restaurateur(trice),124203,18,airtel,43,1068346,24845.25581395349,49136,14864.631834521102,5,1,9,4,10,7,14,8
258,352,81703,6,35,0,Noël Laurent-Legendre,Moanda,48,Artisan(e),44569,27,moov,35,344241,9835.457142857143,17783,5560.704686314799,5,1,2,9,7,3,8,8
259,353,126087,12,36,1,Marguerite Bourdon-Louis,Tchibanga,56,Petit éleveur,70317,41,airtel,36,533624,14822.888888888889,28042,8834.785413443118,5,1,3,9,7,7,7,6
260,354,116247,6,7,1,Timothée Barthelemy,Mouila,39,Petit éleveur,93885,1,moov,7,152145,21735.0,34222,9591.898665019351,5,1,0,1,1,1,2,2
261,355,205719,6,47,1,Victor Lejeune de Joly,Mouila,59,Petit éleveur,157444,22,airtel,47,1528677,32525.042553191488,61132,16501.450705603256,5,1,4,14,8,11,9,5
262,356,35998,9,63,0,Alfred Bailly,Oyem,48,Coiffeur(se),58824,45,airtel,63,887592,14088.761904761905,23506,5749.935934325524,5,1,0,13,11,19,14,6
263,357,69559,3,42,1,Céline Pereira,Oyem,38,Mécanicien(ne),48838,32,moov,42,448215,10671.785714285714,19023,5360.238352616804,5,1,1,9,5,12,8,8
264,359,180677,6,39,0,Michèle Leconte,Tchibanga,63,Couturier(ère),149602,47,moov,39,1236975,31717.30769230769,59378,15525.013067464366,5,1,0,10,6,3,11,9
265,360,272636,12,44,0,Paulette Coste-Bernier,Moanda,33,Vendeur(se) au marché,249863,9,gimac,44,2671426,60714.22727272727,98450,26130.78145118266,5,1,1,4,17,10,8,5
266,361,77614,12,34,0,Marc Bègue,Port-Gentil,46,Petit éleveur,53257,25,moov,34,415315,12215.14705882353,21073,5971.365556895842,5,1,0,5,10,9,3,7
267,362,90802,3,53,0,Patrick Chauvet,Mouila,52,Commerçant(e),118397,60,moov,53,1242360,23440.754716981133,47189,13407.848817742853,5,1,0,8,12,9,10,14
268,363,641181,3,24,1,Laurence David,Port-Gentil,24,Couturier(ère),298257,39,gimac,24,1352037,56334.875,99670,34519.872561748365,5,1,12,4,6,5,4,5
269,364,290657,6,54,0,Gabrielle Hebert,Libreville,54,Mécanicien(ne),120975,40,moov,54,1215671,22512.425925925927,47693,13962.057322050385,5,1,2,9,14,14,9,8
270,365,432270,9,35,1,Inès Étienne,Port-Gentil,34,Couturier(ère),229044,1,gimac,35,1566416,44754.74285714285,86150,25561.757457465355,5,1,28,10,4,6,7,8
271,366,125137,9,67,0,Zacharie Tessier,Oyem,46,Coiffeur(se),175405,45,moov,67,2508416,37439.0447761194,68076,19125.72375056205,5,1,5,8,18,13,19,9
272,370,94914,9,31,0,Aimée Girard Le Berger,Port-Gentil,37,Commerçant(e),80026,21,gimac,31,552951,17837.129032258064,31955,9449.81182084926,5,1,3,5,5,8,5,8
273,371,150418,3,25,0,Roland Leclerc,Oyem,51,Chauffeur de taxi,158220,11,gimac,25,895539,35821.56,62091,15763.870445526169,4,1,8,0,7,5,5,8
274,373,257846,9,43,0,Gabrielle-Hortense Boulanger,Oyem,46,Petit éleveur,127342,2,moov,43,1272864,29601.488372093023,48709,12907.658847462642,5,1,5,7,9,14,6,7
275,374,74269,6,24,0,Théophile Bernard,Moanda,63,Artisan(e),67001,14,gimac,24,318866,13286.083333333334,26780,8207.46028035611,5,1,5,6,8,4,5,1
276,377,171695,12,34,0,Christophe Garcia,Moanda,57,Petit éleveur,74531,12,airtel,34,564657,16607.558823529413,29674,9215.563641129482,5,1,7,7,7,7,8,5
277,378,86904,12,48,0,Inès Pruvost,Moanda,25,Chauffeur de taxi,127763,16,moov,48,1240841,25850.854166666668,50877,14021.597008914776,5,1,3,7,11,14,6,10
278,380,35573,9,42,0,André-Christophe Traore,Franceville,53,Chauffeur de taxi,40643,45,moov,42,340096,8097.523809523809,14889,4349.744675647264,5,1,2,10,4,8,13,7
279,381,127672,9,41,0,Céline Vallet,Tchibanga,57,Commerçant(e),75555,54,moov,41,684377,16692.121951219513,29998,8726.711110708095,5,1,0,9,6,10,9,7
280,382,322048,3,37,0,Noël Pons,Mouila,53,Agriculteur(trice),243384,13,gimac,37,1623722,43884.37837837838,94878,27071.95111627054,5,1,0,3,10,4,8,12
281,383,91163,12,58,0,Catherine Sauvage,Tchibanga,49,Chauffeur de taxi,97107,27,airtel,58,1089968,18792.55172413793,38190,10641.447113654998,5,1,5,13,12,17,9,7
282,385,51303,9,36,0,Madeleine du Weiss,Tchibanga,53,Agriculteur(trice),103418,30,airtel,36,732830,20356.38888888889,39708,10623.578227637341,5,1,3,9,10,1,10,6
283,386,152422,6,60,1,Antoine Voisin,Lambaréné,52,Commerçant(e),109341,35,gimac,60,1375661,22927.683333333334,43024,12373.464853921998,5,1,0,15,12,16,9,8
284,387,68147,9,46,0,Pénélope Torres,Port-Gentil,65,Couturier(ère),91378,28,moov,46,927933,20172.456521739132,36206,10444.487242786709,5,1,7,10,8,9,10,9
285,389,190112,3,59,0,Arnaude Faure,Oyem,31,Commerçant(e),81419,51,gimac,59,1048513,17771.406779661018,32561,8079.476252909749,5,1,0,15,9,16,11,8
286,390,59706,9,28,1,Claudine François,Franceville,38,Vendeur(se) au marché,79730,35,moov,28,465715,16632.678571428572,28913,6885.671295462298,5,1,1,8,7,6,6,1
287,391,929022,9,58,0,Guillaume Ferrand,Port-Gentil,26,Mécanicien(ne),475807,33,airtel,58,4476147,77174.94827586207,99670,28220.948330033145,5,1,0,11,12,10,12,13
288,392,25000,12,48,0,Marguerite-Monique Godard,Oyem,61,Mécanicien(ne),40425,54,moov,48,443532,9240.25,15727,4619.528098308726,5,1,3,11,7,7,10,13
289,393,35165,12,43,1,Lucie du Bodin,Mouila,42,Restaurateur(trice),36244,41,airtel,43,368216,8563.162790697674,14320,4326.463500972725,5,1,7,10,9,12,4,8
290,394,664805,3,47,0,Philippine Perrin de Bègue,Mouila,50,Vendeur(se) au marché,310955,6,gimac,47,2785082,59257.063829787236,99670,29308.668502831726,5,1,0,17,3,10,7,10
291,396,390201,9,45,0,Lucas Maillot-De Sousa,Port-Gentil,52,Mécanicien(ne),156139,55,airtel,45,1487140,33047.555555555555,62210,18765.323655319375,5,1,6,12,4,9,8,12
292,397,193774,6,53,1,Patricia Chauveau,Lambaréné,53,Petit éleveur,97925,19,airtel,53,1023285,19307.264150943396,38634,10768.92274119401,5,1,1,10,10,12,9,12
293,398,77295,6,25,0,Hugues Launay,Libreville,20,Artisan(e),112677,22,gimac,25,654438,26177.52,44645,13941.45840984125,5,1,1,7,8,4,3,3
294,399,250067,6,36,0,Joséphine Besson,Franceville,46,Restaurateur(trice),169518,8,airtel,36,1300055,36112.63888888889,66809,20030.74405743442,5,1,1,3,6,6,13,8
295,400,356914,9,49,1,Zacharie Reynaud,Franceville,59,Vendeur(se) au marché,239128,45,airtel,49,2588798,52832.61224489796,93693,26643.098948427156,5,1,13,12,6,10,10,11
296,402,166928,12,44,0,Martin Pereira,Oyem,45,Artisan(e),84657,45,gimac,44,781692,17765.727272727272,33156,8558.069754558563,5,1,5,5,10,13,8,8
297,403,59975,9,38,1,Christelle Berthelot,Franceville,55,Couturier(ère),58119,5,gimac,38,441532,11619.263157894737,22462,6325.5993357075085,5,1,16,3,7,14,9,5
298,404,165701,9,49,0,Théodore Guilbert,Mouila,62,Chauffeur de taxi,296803,56,moov,49,2762331,56374.102040816324,99670,29055.729848176314,5,1,5,10,9,8,8,14
299,406,197149,3,59,0,Marthe Chartier,Franceville,59,Chauffeur de taxi,155512,50,airtel,59,1760825,29844.491525423728,62117,17142.378096575794,5,1,0,9,7,13,18,12
300,407,221861,6,46,0,Anastasie Hervé,Franceville,46,Coiffeur(se),101892,42,gimac,46,974156,21177.304347826088,39980,12349.3038847802,5,1,2,16,11,5,9,5
301,408,43951,6,38,0,Marcelle Benard de Verdier,Mouila,57,Restaurateur(trice),30537,59,airtel,38,219841,5785.289473684211,10744,3387.143928890731,5,1,2,6,4,5,10,13
302,409,172628,9,57,0,Frédérique de la Descamps,Lambaréné,45,Coiffeur(se),185927,25,airtel,57,2079670,36485.43859649123,74277,20886.4269426151,5,1,0,11,16,13,6,11
303,410,25000,12,46,0,Hélène Nicolas,Moanda,62,Commerçant(e),47547,16,gimac,46,496710,10798.04347826087,18387,4863.317180491896,5,1,1,5,11,7,11,12
304,411,336135,3,53,0,Michèle Noël,Oyem,65,Mécanicien(ne),160631,39,moov,53,1771149,33417.90566037736,61419,15613.031556836586,5,1,1,13,7,13,10,10
305,413,59327,3,21,0,Alexandrie Raynaud-Descamps,Libreville,41,Coiffeur(se),47269,5,airtel,21,239408,11400.380952380952,18494,5090.959963270096,5,1,23,10,2,5,1,3
